batch_size,learning_rate,fold,accuracy,f1,tpr,tnr,gmean,preprocessed_dir
16,0.001,4,0.5909090909090909,0.6896551724137931,1.0,0.25,0.5,resize_smaller_hu_m300_1400_separadas
16,0.001,5,0.5454545454545454,0.5833333333333334,0.7,0.4166666666666667,0.5400617248673217,resize_smaller_hu_m300_1400_separadas
4,1e-05,1,0.5217391304347826,0.0,0.0,1.0,0.0,resize_smaller_hu_m600_1500_separadas
4,1e-05,2,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6513389472789296,resize_smaller_hu_m600_1500_separadas
4,1e-05,3,0.6363636363636364,0.7142857142857143,0.9090909090909091,0.36363636363636365,0.5749595745760689,resize_smaller_hu_m600_1500_separadas
4,1e-05,4,0.45454545454545453,0.625,1.0,0.0,0.0,resize_smaller_hu_m600_1500_separadas
4,1e-05,5,0.7272727272727273,0.7272727272727273,0.8,0.6666666666666666,0.7302967433402214,resize_smaller_hu_m600_1500_separadas
4,0.0001,1,0.7391304347826086,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.7282190812544191,resize_smaller_hu_m600_1500_separadas
4,0.0001,2,0.5217391304347826,0.6451612903225806,0.9090909090909091,0.16666666666666666,0.38924947208076144,resize_smaller_hu_m600_1500_separadas
4,0.0001,3,0.5454545454545454,0.6875,1.0,0.09090909090909091,0.30151134457776363,resize_smaller_hu_m600_1500_separadas
4,0.0001,4,0.5454545454545454,0.5,0.5,0.5833333333333334,0.5400617248673217,resize_smaller_hu_m600_1500_separadas
4,0.0001,5,0.45454545454545453,0.625,1.0,0.0,0.0,resize_smaller_hu_m600_1500_separadas
4,0.001,1,0.7391304347826086,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.7282190812544191,resize_smaller_hu_m600_1500_separadas
4,0.001,2,0.5217391304347826,0.6451612903225806,0.9090909090909091,0.16666666666666666,0.38924947208076144,resize_smaller_hu_m600_1500_separadas
4,0.001,3,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.5454545454545454,0.6298366572977735,resize_smaller_hu_m600_1500_separadas
4,0.001,4,0.6818181818181818,0.72,0.9,0.5,0.6708203932499369,resize_smaller_hu_m600_1500_separadas
4,0.001,5,0.5909090909090909,0.5714285714285714,0.6,0.5833333333333334,0.5916079783099616,resize_smaller_hu_m600_1500_separadas
8,1e-05,1,0.5217391304347826,0.6206896551724138,0.8181818181818182,0.25,0.45226701686664544,resize_smaller_hu_m600_1500_separadas
8,1e-05,2,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_smaller_hu_m600_1500_separadas
8,1e-05,3,0.5454545454545454,0.6153846153846154,0.7272727272727273,0.36363636363636365,0.51425947722658,resize_smaller_hu_m600_1500_separadas
8,1e-05,4,0.6818181818181818,0.7407407407407407,1.0,0.4166666666666667,0.6454972243679028,resize_smaller_hu_m600_1500_separadas
8,1e-05,5,0.7272727272727273,0.75,0.9,0.5833333333333334,0.724568837309472,resize_smaller_hu_m600_1500_separadas
8,0.0001,1,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_smaller_hu_m600_1500_separadas
8,0.0001,2,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_smaller_hu_m600_1500_separadas
