batch_size,learning_rate,fold,accuracy,f1,tpr,tnr,gmean,preprocessed_dir
1,0.001,3,0.5909090909090909,0.5263157894736842,0.45454545454545453,0.7272727272727273,0.5749595745760689,resize_mini_hu_m300_1400_separadas
1,0.001,4,0.5909090909090909,0.18181818181818182,0.1,1.0,0.31622776601683794,resize_mini_hu_m300_1400_separadas
1,0.001,5,0.6363636363636364,0.5555555555555556,0.5,0.75,0.6123724356957945,resize_mini_hu_m300_1400_separadas
2,1e-05,1,0.6086956521739131,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.6092717958449424,resize_mini_hu_m300_1400_separadas
2,1e-05,2,0.6086956521739131,0.6666666666666666,0.8181818181818182,0.4166666666666667,0.5838742081211422,resize_mini_hu_m300_1400_separadas
2,1e-05,3,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,resize_mini_hu_m300_1400_separadas
2,1e-05,4,0.6363636363636364,0.5,0.4,0.8333333333333334,0.5773502691896258,resize_mini_hu_m300_1400_separadas
2,1e-05,5,0.6818181818181818,0.46153846153846156,0.3,1.0,0.5477225575051661,resize_mini_hu_m300_1400_separadas
2,5e-05,1,0.5652173913043478,0.16666666666666666,0.09090909090909091,1.0,0.30151134457776363,resize_mini_hu_m300_1400_separadas
2,5e-05,2,0.782608695652174,0.7368421052631579,0.6363636363636364,0.9166666666666666,0.7637626158259733,resize_mini_hu_m300_1400_separadas
2,5e-05,3,0.5909090909090909,0.5714285714285714,0.5454545454545454,0.6363636363636364,0.5891582453098054,resize_mini_hu_m300_1400_separadas
2,5e-05,4,0.6363636363636364,0.6923076923076923,0.9,0.4166666666666667,0.6123724356957945,resize_mini_hu_m300_1400_separadas
2,5e-05,5,0.6363636363636364,0.6,0.6,0.6666666666666666,0.6324555320336759,resize_mini_hu_m300_1400_separadas
2,0.0001,1,0.5652173913043478,0.5,0.45454545454545453,0.6666666666666666,0.5504818825631803,resize_mini_hu_m300_1400_separadas
2,0.0001,2,0.6956521739130435,0.631578947368421,0.5454545454545454,0.8333333333333334,0.674199862463242,resize_mini_hu_m300_1400_separadas
2,0.0001,3,0.6363636363636364,0.7142857142857143,0.9090909090909091,0.36363636363636365,0.5749595745760689,resize_mini_hu_m300_1400_separadas
2,0.0001,4,0.6818181818181818,0.72,0.9,0.5,0.6708203932499369,resize_mini_hu_m300_1400_separadas
2,0.0001,5,0.7272727272727273,0.5714285714285714,0.4,1.0,0.6324555320336759,resize_mini_hu_m300_1400_separadas
2,0.0005,1,0.7391304347826086,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.7282190812544191,resize_mini_hu_m300_1400_separadas
2,0.0005,2,0.6086956521739131,0.6666666666666666,0.8181818181818182,0.4166666666666667,0.5838742081211422,resize_mini_hu_m300_1400_separadas
2,0.0005,3,0.5909090909090909,0.64,0.7272727272727273,0.45454545454545453,0.5749595745760689,resize_mini_hu_m300_1400_separadas
2,0.0005,4,0.7727272727272727,0.8,1.0,0.5833333333333334,0.7637626158259734,resize_mini_hu_m300_1400_separadas
2,0.0005,5,0.6818181818181818,0.5333333333333333,0.4,0.9166666666666666,0.6055300708194984,resize_mini_hu_m300_1400_separadas
2,0.001,1,0.6086956521739131,0.6896551724137931,0.9090909090909091,0.3333333333333333,0.5504818825631803,resize_mini_hu_m300_1400_separadas
