n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio,Accuracy_promedio
300,3,0.05,0.9,0.8,1.0,0.1467,0.18,0.48
300,3,0.05,0.8,0.8,1.25,0.1723,0.22,0.48
300,3,0.05,0.9,0.8,1.25,0.1723,0.22,0.4933
300,3,0.05,0.8,0.8,1.5,0.2123,0.26,0.4933
300,3,0.05,0.9,0.8,1.5,0.205,0.26,0.4924
300,3,0.05,0.8,0.8,1.75,0.2568,0.3,0.5067
300,3,0.05,0.9,0.8,1.75,0.205,0.26,0.4924
300,3,0.05,0.8,0.8,2.0,0.245,0.3,0.479
300,3,0.05,0.9,0.8,2.0,0.2429,0.3,0.479
100,4,0.05,0.8,0.8,1.0,0.1556,0.18,0.5086
100,4,0.05,0.9,0.8,1.0,0.1556,0.18,0.5486
100,4,0.05,0.8,0.8,1.25,0.2057,0.26,0.4933
100,4,0.05,0.9,0.8,1.25,0.1556,0.18,0.5219
100,4,0.05,0.8,0.8,1.5,0.2021,0.26,0.48
100,4,0.05,0.9,0.8,1.5,0.2168,0.26,0.52
100,4,0.05,0.8,0.8,1.75,0.1948,0.26,0.4657
100,4,0.05,0.9,0.8,1.75,0.2095,0.26,0.4924
100,4,0.05,0.8,0.8,2.0,0.2428,0.3,0.4657
100,4,0.05,0.9,0.8,2.0,0.2368,0.3,0.4514
200,4,0.05,0.8,0.8,1.0,0.1723,0.22,0.5067
200,4,0.05,0.9,0.8,1.0,0.1467,0.18,0.5067
200,4,0.05,0.8,0.8,1.25,0.1723,0.22,0.4933
200,4,0.05,0.9,0.8,1.25,0.1467,0.18,0.48
200,4,0.05,0.8,0.8,1.5,0.2123,0.26,0.4933
200,4,0.05,0.9,0.8,1.5,0.2123,0.26,0.5067
200,4,0.05,0.8,0.8,1.75,0.2123,0.26,0.5067
200,4,0.05,0.9,0.8,1.75,0.205,0.26,0.479
200,4,0.05,0.8,0.8,2.0,0.205,0.26,0.4924
200,4,0.05,0.9,0.8,2.0,0.2123,0.26,0.4933
300,4,0.05,0.8,0.8,1.0,0.1723,0.22,0.4933
300,4,0.05,0.9,0.8,1.0,0.1467,0.18,0.48
300,4,0.05,0.8,0.8,1.25,0.1723,0.22,0.48
300,4,0.05,0.9,0.8,1.25,0.1723,0.22,0.52
300,4,0.05,0.8,0.8,1.5,0.165,0.22,0.4657
300,4,0.05,0.9,0.8,1.5,0.165,0.22,0.4924
300,4,0.05,0.8,0.8,1.75,0.2495,0.3,0.4924
300,4,0.05,0.9,0.8,1.75,0.2434,0.3,0.4781
300,4,0.05,0.8,0.8,2.0,0.2495,0.3,0.4924
300,4,0.05,0.9,0.8,2.0,0.2495,0.3,0.4924
100,5,0.05,0.8,0.8,1.0,0.1812,0.22,0.5352
100,5,0.05,0.9,0.8,1.0,0.1556,0.18,0.5352
100,5,0.05,0.8,0.8,1.25,0.1723,0.22,0.4933
100,5,0.05,0.9,0.8,1.25,0.1723,0.22,0.5076
100,5,0.05,0.8,0.8,1.5,0.2087,0.26,0.4933
100,5,0.05,0.9,0.8,1.5,0.2123,0.26,0.5067
100,5,0.05,0.8,0.8,1.75,0.2014,0.26,0.479
100,5,0.05,0.9,0.8,1.75,0.1953,0.26,0.4514
100,5,0.05,0.8,0.8,2.0,0.2014,0.26,0.4657
100,5,0.05,0.9,0.8,2.0,0.2398,0.3,0.4648
200,5,0.05,0.8,0.8,1.0,0.1723,0.22,0.5067
200,5,0.05,0.9,0.8,1.0,0.1467,0.18,0.48
