fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob,seed
1,TEST,0.48,0.5806451612903226,0.75,0.23076923076923078,0.41602514716892186,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
2,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
2,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
3,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
3,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
4,TEST,0.76,0.7857142857142857,0.9166666666666666,0.6153846153846154,0.7510676161988108,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
5,VALIDATION,0.6,0.6666666666666666,0.8,0.4,0.5656854249492381,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
5,TEST,0.64,0.6896551724137931,0.9090909090909091,0.42857142857142855,0.6241877839323592,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
MEAN,VALIDATION,0.67,0.7027795575896263,0.8488888888888889,0.5163636363636364,0.6519438079509585,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
MEAN,TEST,0.6000000000000001,0.6305789501562582,0.7484848484848485,0.4703296703296703,0.5730905716718482,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
1,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
1,TEST,0.68,0.6363636363636364,0.5833333333333334,0.7692307692307693,0.6698641270570838,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
2,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
2,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
3,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
3,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
5,VALIDATION,0.55,0.5714285714285714,0.6,0.5,0.5477225575051661,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
5,TEST,0.68,0.7142857142857143,0.9090909090909091,0.5,0.674199862463242,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
MEAN,VALIDATION,0.64,0.6593939393939394,0.7644444444444444,0.5363636363636364,0.6387491387168807,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
MEAN,TEST,0.5840000000000001,0.600923520923521,0.6984848484848485,0.48461538461538467,0.4825593712700278,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
1,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
1,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
2,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
2,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
3,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
4,TEST,0.48,0.6060606060606061,0.8333333333333334,0.15384615384615385,0.3580574370197165,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
5,TEST,0.64,0.7096774193548387,1.0,0.35714285714285715,0.5976143046671968,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
MEAN,VALIDATION,0.6699999999999999,0.6909735720375106,0.8044444444444444,0.5545454545454546,0.6553410123246117,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
MEAN,TEST,0.56,0.5672386866770168,0.7,0.4406593406593407,0.49212229549376235,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
1,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
2,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
2,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
3,VALIDATION,0.55,0.64,0.8888888888888888,0.2727272727272727,0.4923659639173309,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
4,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
4,TEST,0.52,0.6470588235294118,0.9166666666666666,0.15384615384615385,0.3755338080994054,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
5,TEST,0.8,0.782608695652174,0.8181818181818182,0.7857142857142857,0.8017837257372732,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
MEAN,VALIDATION,0.6399999999999999,0.6488255933952528,0.7177777777777777,0.5745454545454545,0.626670123213714,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
MEAN,TEST,0.584,0.5663724115172015,0.646969696969697,0.5263736263736264,0.5192889701246916,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,40
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
2,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
2,TEST,0.68,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.6793662204867574,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
3,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,123
