n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio,Accuracy_promedio
200,5,0.05,0.8,0.8,1.25,0.1527,0.18,0.52
200,5,0.05,0.9,0.8,1.25,0.12,0.14,0.4933
200,5,0.05,0.8,0.8,1.5,0.1467,0.18,0.4933
200,5,0.05,0.9,0.8,1.5,0.18,0.22,0.52
200,5,0.05,0.8,0.8,1.75,0.1923,0.27,0.5067
200,5,0.05,0.9,0.8,1.75,0.1527,0.18,0.5067
200,5,0.05,0.8,0.8,2.0,0.2,0.27,0.5343
200,5,0.05,0.9,0.8,2.0,0.2091,0.27,0.5343
300,5,0.05,0.8,0.8,1.0,0.1164,0.14,0.48
300,5,0.05,0.9,0.8,1.0,0.1164,0.14,0.48
300,5,0.05,0.8,0.8,1.25,0.1723,0.22,0.5067
300,5,0.05,0.9,0.8,1.25,0.1467,0.18,0.5067
300,5,0.05,0.8,0.8,1.5,0.1394,0.18,0.479
300,5,0.05,0.9,0.8,1.5,0.18,0.22,0.52
300,5,0.05,0.8,0.8,1.75,0.1923,0.27,0.5067
300,5,0.05,0.9,0.8,1.75,0.1818,0.23,0.521
300,5,0.05,0.8,0.8,2.0,0.2423,0.31,0.5343
300,5,0.05,0.9,0.8,2.0,0.2,0.27,0.52
