fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
2,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
3,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
3,TEST,0.6,0.6875,0.9166666666666666,0.3076923076923077,0.5310850045437944,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
4,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
4,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
5,VALIDATION,0.75,0.7058823529411765,0.6,0.9,0.7348469228349535,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
5,TEST,0.64,0.6086956521739131,0.6363636363636364,0.6428571428571429,0.6396021490668313,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
MEAN,VALIDATION,0.6699999999999999,0.6694972725932479,0.72,0.6345454545454545,0.6680216266092696,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
MEAN,TEST,0.6000000000000001,0.6405724637681159,0.7606060606060605,0.45164835164835165,0.5715445494637067,4,0.001,resize_small_hu_m600_1500_separadas,0,0.4
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
1,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
2,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
3,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
3,TEST,0.6,0.6875,0.9166666666666666,0.3076923076923077,0.5310850045437944,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
4,VALIDATION,0.6,0.6923076923076923,1.0,0.2727272727272727,0.5222329678670935,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
5,VALIDATION,0.6,0.6363636363636364,0.7,0.5,0.5916079783099616,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
5,TEST,0.56,0.6206896551724138,0.8181818181818182,0.35714285714285715,0.5405624776173354,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
MEAN,VALIDATION,0.61,0.6529279416235938,0.8066666666666666,0.4454545454545455,0.5889980565267369,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
MEAN,TEST,0.536,0.6106407800373318,0.7803030303030303,0.3175824175824176,0.42889152767841576,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
1,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
1,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
2,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
2,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
3,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
