fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
MEAN,TEST,0.544,0.5402898550724637,0.6303030303030304,0.47252747252747246,0.4856230136072893,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.48,0.6060606060606061,0.8333333333333334,0.15384615384615385,0.3580574370197165,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.7,0.625,0.5,0.9,0.6708203932499369,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.68,0.42857142857142855,0.2727272727272727,1.0,0.5222329678670935,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.6599999999999999,0.6325460487225193,0.6555555555555556,0.6709090909090909,0.6497400161051898,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.5920000000000001,0.5734288699805941,0.6378787878787879,0.5384615384615384,0.5207377500869449,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.85,0.8421052631578947,0.8888888888888888,0.8181818181818182,0.8528028654224418,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
1,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
2,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
2,TEST,0.56,0.6666666666666666,0.9166666666666666,0.23076923076923078,0.45993310550389993,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
3,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
4,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
4,TEST,0.52,0.6666666666666666,1.0,0.07692307692307693,0.2773500981126146,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
5,VALIDATION,0.6,0.6,0.6,0.6,0.6,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
5,TEST,0.72,0.7407407407407407,0.9090909090909091,0.5714285714285714,0.7207499701564472,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
MEAN,VALIDATION,0.6900000000000001,0.7164210526315788,0.8533333333333333,0.5563636363636364,0.6724749428829889,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
MEAN,TEST,0.592,0.6386243386243386,0.7984848484848485,0.4065934065934066,0.5166935469434177,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
1,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
1,TEST,0.44,0.5882352941176471,0.8333333333333334,0.07692307692307693,0.25318484177091666,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
2,TEST,0.44,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.4385290096535146,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
3,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
4,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
4,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
5,VALIDATION,0.6,0.6666666666666666,0.8,0.4,0.5656854249492381,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
5,TEST,0.6,0.6875,1.0,0.2857142857142857,0.5345224838248488,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
MEAN,VALIDATION,0.6399999999999999,0.6653032581453634,0.7822222222222222,0.5163636363636364,0.6245260754074461,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
MEAN,TEST,0.52,0.5865573152337858,0.75,0.3186813186813187,0.4527820068836145,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
1,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
1,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
2,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
2,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
