fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
2,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
2,TEST,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.5345224838248488,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
3,VALIDATION,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.75,0.6908492797077574,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
3,TEST,0.5384615384615384,0.5,0.5,0.5714285714285714,0.5345224838248488,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
4,VALIDATION,0.5652173913043478,0.5833333333333334,0.6363636363636364,0.5,0.5640760748177662,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
4,TEST,0.6923076923076923,0.7142857142857143,0.8333333333333334,0.5714285714285714,0.6900655593423543,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
5,VALIDATION,0.6956521739130435,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.6963106238227914,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
5,TEST,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6900655593423543,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
6,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
6,TEST,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
7,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
7,TEST,0.4166666666666667,0.5333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
8,VALIDATION,0.6521739130434783,0.6,0.5454545454545454,0.75,0.6396021490668313,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
8,TEST,0.9166666666666666,0.9230769230769231,1.0,0.8333333333333334,0.9128709291752769,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
9,VALIDATION,0.6521739130434783,0.6,0.5454545454545454,0.75,0.6396021490668313,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
9,TEST,0.6666666666666666,0.6,0.5,0.8333333333333334,0.6454972243679028,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
10,VALIDATION,0.6956521739130435,0.631578947368421,0.5454545454545454,0.8333333333333334,0.674199862463242,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
10,TEST,0.6666666666666666,0.3333333333333333,0.2,1.0,0.4472135954999579,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
MEAN,VALIDATION,0.6565217391304348,0.6497231121281464,0.6727272727272726,0.6416666666666666,0.6492207150573325,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
MEAN,TEST,0.6410256410256411,0.5881807081807081,0.5866666666666667,0.6785714285714286,0.5989280319202394,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
1,VALIDATION,0.6956521739130435,0.7407407407407407,0.9090909090909091,0.5,0.674199862463242,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
1,TEST,0.46153846153846156,0.46153846153846156,0.5,0.42857142857142855,0.4629100498862757,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
2,VALIDATION,0.6956521739130435,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.6963106238227914,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
2,TEST,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.5345224838248488,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
3,VALIDATION,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.75,0.6908492797077574,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
3,TEST,0.46153846153846156,0.36363636363636365,0.3333333333333333,0.5714285714285714,0.4364357804719847,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
4,VALIDATION,0.5652173913043478,0.5833333333333334,0.6363636363636364,0.5,0.5640760748177662,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
4,TEST,0.6923076923076923,0.7142857142857143,0.8333333333333334,0.5714285714285714,0.6900655593423543,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
5,VALIDATION,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.75,0.6908492797077574,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
5,TEST,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.7715167498104596,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
6,VALIDATION,0.6521739130434783,0.7142857142857143,0.9090909090909091,0.4166666666666667,0.6154574548966637,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
6,TEST,0.4166666666666667,0.5882352941176471,0.8333333333333334,0.0,0.0,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
7,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
7,TEST,0.5,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.4714045207910317,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
8,VALIDATION,0.6086956521739131,0.6666666666666666,0.8181818181818182,0.4166666666666667,0.5838742081211422,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
8,TEST,0.5833333333333334,0.7058823529411765,1.0,0.16666666666666666,0.408248290463863,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
9,VALIDATION,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.75,0.6908492797077574,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
9,TEST,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
10,VALIDATION,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.75,0.6908492797077574,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
10,TEST,0.75,0.5714285714285714,0.4,1.0,0.6324555320336759,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
MEAN,VALIDATION,0.6608695652173913,0.6707345295606165,0.7272727272727273,0.6,0.6500338032108163,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
MEAN,TEST,0.6083333333333333,0.6023443876385053,0.6566666666666666,0.5476190476190477,0.5240892299957827,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.5
1,VALIDATION,0.7391304347826086,0.75,0.8181818181818182,0.6666666666666666,0.7385489458759964,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
1,TEST,0.46153846153846156,0.36363636363636365,0.3333333333333333,0.5714285714285714,0.4364357804719847,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
2,VALIDATION,0.6086956521739131,0.6666666666666666,0.8181818181818182,0.4166666666666667,0.5838742081211422,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
2,TEST,0.5384615384615384,0.5,0.5,0.5714285714285714,0.5345224838248488,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
3,VALIDATION,0.6956521739130435,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.6963106238227914,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
3,TEST,0.5384615384615384,0.5,0.5,0.5714285714285714,0.5345224838248488,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
4,VALIDATION,0.5652173913043478,0.5,0.45454545454545453,0.6666666666666666,0.5504818825631803,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
4,TEST,0.46153846153846156,0.2222222222222222,0.16666666666666666,0.7142857142857143,0.3450327796711771,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
5,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
5,TEST,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.6172133998483676,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
6,VALIDATION,0.6521739130434783,0.6666666666666666,0.7272727272727273,0.5833333333333334,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
6,TEST,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.5,0.5773502691896257,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
7,VALIDATION,0.6086956521739131,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.6092717958449424,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
7,TEST,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.5,0.5773502691896257,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
8,VALIDATION,0.5652173913043478,0.5454545454545454,0.5454545454545454,0.5833333333333334,0.5640760748177662,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
8,TEST,0.8333333333333334,0.8571428571428571,1.0,0.6666666666666666,0.816496580927726,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
9,VALIDATION,0.5652173913043478,0.5833333333333334,0.6363636363636364,0.5,0.5640760748177662,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
9,TEST,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
10,VALIDATION,0.7391304347826086,0.7,0.6363636363636364,0.8333333333333334,0.7282190812544191,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
10,TEST,0.75,0.5714285714285714,0.4,1.0,0.6324555320336759,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
MEAN,VALIDATION,0.6347826086956522,0.6356469038208168,0.6727272727272728,0.5999999999999999,0.6289220323552461,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
MEAN,TEST,0.6032051282051283,0.5527250527250527,0.5566666666666668,0.6333333333333333,0.5738046245648547,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
1,VALIDATION,0.6956521739130435,0.7407407407407407,0.9090909090909091,0.5,0.674199862463242,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
1,TEST,0.5384615384615384,0.5,0.5,0.5714285714285714,0.5345224838248488,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
2,VALIDATION,0.6086956521739131,0.6666666666666666,0.8181818181818182,0.4166666666666667,0.5838742081211422,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
2,TEST,0.5384615384615384,0.4,0.3333333333333333,0.7142857142857143,0.4879500364742666,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
3,VALIDATION,0.7391304347826086,0.7272727272727273,0.7272727272727273,0.75,0.7385489458759964,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
3,TEST,0.6153846153846154,0.5454545454545454,0.5,0.7142857142857143,0.5976143046671968,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
4,VALIDATION,0.5217391304347826,0.56,0.6363636363636364,0.4166666666666667,0.5149286505444373,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
4,TEST,0.6153846153846154,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.5976143046671968,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
5,VALIDATION,0.6956521739130435,0.72,0.8181818181818182,0.5833333333333334,0.6908492797077574,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
5,TEST,0.6923076923076923,0.7142857142857143,0.8333333333333334,0.5714285714285714,0.6900655593423543,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
6,VALIDATION,0.6956521739130435,0.7586206896551724,1.0,0.4166666666666667,0.6454972243679028,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
