n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio
200,5,0.05,0.8,0.8,1.75,0.205,0.26
200,5,0.05,0.8,0.8,2.0,0.2495,0.3
200,5,0.05,0.8,0.8,2.25,0.2823,0.35
200,5,0.05,0.8,0.8,2.5,0.2702,0.35
200,5,0.05,0.8,0.8,2.75,0.2768,0.35
200,5,0.05,0.8,0.8,3.0,0.2665,0.35
200,5,0.05,0.8,0.8,3.25,0.2665,0.35
200,5,0.05,0.8,0.8,3.5,0.2665,0.35
200,5,0.05,0.8,0.8,3.75,0.311,0.4
200,5,0.05,0.8,0.8,4.0,0.2967,0.4
200,5,0.05,0.8,0.8,4.25,0.3033,0.4
200,5,0.05,0.8,0.8,4.5,0.3033,0.4
200,5,0.05,0.8,0.8,4.75,0.2976,0.4
200,5,0.05,0.8,0.8,5.0,0.2976,0.4
200,5,0.05,0.8,0.8,5.25,0.291,0.4
200,5,0.05,0.8,0.8,5.5,0.291,0.4
200,5,0.05,0.8,0.8,5.75,0.286,0.4
200,5,0.05,0.8,0.8,6.0,0.286,0.4
100,7,0.05,0.8,0.8,1.0,0.1812,0.22
100,7,0.05,0.8,0.8,1.25,0.1723,0.22
100,7,0.05,0.8,0.8,1.5,0.2014,0.26
100,7,0.05,0.8,0.8,1.75,0.2014,0.26
100,7,0.05,0.8,0.8,2.0,0.1953,0.26
100,7,0.05,0.8,0.8,2.25,0.1902,0.26
100,7,0.05,0.8,0.8,2.5,0.2144,0.31
100,7,0.05,0.8,0.8,2.75,0.2358,0.35
100,7,0.05,0.8,0.8,3.0,0.2771,0.39
100,7,0.05,0.8,0.8,3.25,0.2715,0.39
100,7,0.05,0.8,0.8,3.5,0.3102,0.44
100,7,0.05,0.8,0.8,3.75,0.3102,0.44
100,7,0.05,0.8,0.8,4.0,0.3102,0.44
100,7,0.05,0.8,0.8,4.25,0.3102,0.44
100,7,0.05,0.8,0.8,4.5,0.3102,0.44
100,7,0.05,0.8,0.8,4.75,0.3102,0.44
100,7,0.05,0.8,0.8,5.0,0.3385,0.49
100,7,0.05,0.8,0.8,5.25,0.3029,0.44
100,7,0.05,0.8,0.8,5.5,0.3029,0.44
100,7,0.05,0.8,0.8,5.75,0.3255,0.48
100,7,0.05,0.8,0.8,6.0,0.3611,0.53
200,7,0.05,0.8,0.8,1.0,0.1723,0.22
200,7,0.05,0.8,0.8,1.25,0.165,0.22
200,7,0.05,0.8,0.8,1.5,0.165,0.22
200,7,0.05,0.8,0.8,1.75,0.205,0.26
200,7,0.05,0.8,0.8,2.0,0.205,0.26
200,7,0.05,0.8,0.8,2.25,0.255,0.3
200,7,0.05,0.8,0.8,2.5,0.2768,0.35
200,7,0.05,0.8,0.8,2.75,0.2691,0.35
200,7,0.05,0.8,0.8,3.0,0.2588,0.35
200,7,0.05,0.8,0.8,3.25,0.2587,0.35
200,7,0.05,0.8,0.8,3.5,0.2465,0.35
200,7,0.05,0.8,0.8,3.75,0.3033,0.4
200,7,0.05,0.8,0.8,4.0,0.2967,0.4
200,7,0.05,0.8,0.8,4.25,0.2967,0.4
200,7,0.05,0.8,0.8,4.5,0.2967,0.4
200,7,0.05,0.8,0.8,4.75,0.291,0.4
200,7,0.05,0.8,0.8,5.0,0.291,0.4
200,7,0.05,0.8,0.8,5.25,0.291,0.4
200,7,0.05,0.8,0.8,5.5,0.291,0.4
200,7,0.05,0.8,0.8,5.75,0.286,0.4
200,7,0.05,0.8,0.8,6.0,0.3215,0.45
