fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
5,VALIDATION,0.6521739130434783,0.7142857142857143,0.9090909090909091,0.4166666666666667,0.6154574548966637,2,0.0001,resize_mini_hu_m300_1400_separadas
5,TEST,0.6153846153846154,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.5976143046671968,2,0.0001,resize_mini_hu_m300_1400_separadas
6,VALIDATION,0.5652173913043478,0.6153846153846154,0.7272727272727273,0.4166666666666667,0.5504818825631803,2,0.0001,resize_mini_hu_m300_1400_separadas
6,TEST,0.5,0.6666666666666666,1.0,0.0,0.0,2,0.0001,resize_mini_hu_m300_1400_separadas
7,VALIDATION,0.5652173913043478,0.6428571428571429,0.8181818181818182,0.3333333333333333,0.5222329678670935,2,0.0001,resize_mini_hu_m300_1400_separadas
7,TEST,0.5,0.625,0.8333333333333334,0.16666666666666666,0.37267799624996495,2,0.0001,resize_mini_hu_m300_1400_separadas
8,VALIDATION,0.5652173913043478,0.5,0.45454545454545453,0.6666666666666666,0.5504818825631803,2,0.0001,resize_mini_hu_m300_1400_separadas
8,TEST,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,0.0001,resize_mini_hu_m300_1400_separadas
9,VALIDATION,0.4782608695652174,0.45454545454545453,0.45454545454545453,0.5,0.4767312946227962,2,0.0001,resize_mini_hu_m300_1400_separadas
9,TEST,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.5,0.5773502691896257,2,0.0001,resize_mini_hu_m300_1400_separadas
10,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,2,0.0001,resize_mini_hu_m300_1400_separadas
10,TEST,0.6666666666666666,0.7142857142857143,1.0,0.42857142857142855,0.6546536707079771,2,0.0001,resize_mini_hu_m300_1400_separadas
MEAN,VALIDATION,0.5826086956521739,0.57045419097032,0.6363636363636364,0.5333333333333334,0.5347259792816034,2,0.0001,resize_mini_hu_m300_1400_separadas
