fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
4,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
5,VALIDATION,0.5,0.5,0.5,0.5,0.5,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
5,TEST,0.28,0.1,0.09090909090909091,0.42857142857142855,0.19738550848793068,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
MEAN,VALIDATION,0.6399999999999999,0.6333333333333333,0.6777777777777778,0.6090909090909091,0.6412236549854288,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
MEAN,TEST,0.5359999999999999,0.5183105590062113,0.5681818181818181,0.501098901098901,0.508423979968067,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
1,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
2,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
3,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
3,TEST,0.72,0.72,0.75,0.6923076923076923,0.7205766921228921,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
4,TEST,0.4,0.5714285714285714,0.8333333333333334,0.0,0.0,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
5,VALIDATION,0.7,0.75,0.9,0.5,0.6708203932499369,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
5,TEST,0.64,0.7096774193548387,1.0,0.35714285714285715,0.5976143046671968,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
MEAN,VALIDATION,0.6599999999999999,0.6612355755699408,0.7355555555555555,0.5909090909090909,0.6511831854769213,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
MEAN,TEST,0.5680000000000001,0.5954592933947772,0.7,0.45604395604395603,0.47483033479648695,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
1,VALIDATION,0.85,0.8421052631578947,0.8888888888888888,0.8181818181818182,0.8528028654224418,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
1,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
2,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
2,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
3,VALIDATION,0.7,0.75,1.0,0.45454545454545453,0.674199862463242,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
3,TEST,0.64,0.7096774193548387,0.9166666666666666,0.38461538461538464,0.5937710859953544,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
4,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
4,TEST,0.48,0.6060606060606061,0.8333333333333334,0.15384615384615385,0.3580574370197165,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
5,VALIDATION,0.7,0.625,0.5,0.9,0.6708203932499369,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
5,TEST,0.6,0.4444444444444444,0.36363636363636365,0.7857142857142857,0.5345224838248488,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
MEAN,VALIDATION,0.68,0.6688178780284042,0.7222222222222222,0.6527272727272727,0.6685786787418728,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
MEAN,TEST,0.5680000000000001,0.5660225079579918,0.6393939393939394,0.4956043956043955,0.5183730759794061,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
1,VALIDATION,0.75,0.6153846153846154,0.4444444444444444,1.0,0.6666666666666666,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
2,VALIDATION,0.55,0.5263157894736842,0.5555555555555556,0.5454545454545454,0.5504818825631803,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
2,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
3,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
3,TEST,0.48,0.5806451612903226,0.75,0.23076923076923078,0.41602514716892186,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
4,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
5,VALIDATION,0.65,0.5882352941176471,0.5,0.8,0.6324555320336759,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
5,TEST,0.68,0.6,0.5454545454545454,0.7857142857142857,0.6546536707079771,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
MEAN,VALIDATION,0.63,0.5865886435545878,0.5666666666666667,0.6872727272727273,0.6102849822211265,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
MEAN,TEST,0.5680000000000001,0.581502499370662,0.6424242424242425,0.4956043956043956,0.5420784105674393,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
1,VALIDATION,0.7,0.5714285714285714,0.4444444444444444,0.9090909090909091,0.6356417261637282,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
1,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
2,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
2,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
3,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
3,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
4,VALIDATION,0.6,0.6923076923076923,1.0,0.2727272727272727,0.5222329678670935,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
5,VALIDATION,0.65,0.5333333333333333,0.4,0.9,0.6000000000000001,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
5,TEST,0.8,0.7368421052631579,0.6363636363636364,0.9285714285714286,0.7687061147858074,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
MEAN,VALIDATION,0.6499999999999999,0.5955250305250305,0.591111111111111,0.7072727272727273,0.6053325893009254,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
MEAN,TEST,0.584,0.5797852602520794,0.6106060606060606,0.554945054945055,0.4839940704502803,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
1,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
2,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
3,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
3,TEST,0.6,0.6875,0.9166666666666666,0.3076923076923077,0.5310850045437944,16,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
