fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
5,VALIDATION,0.7,0.6666666666666666,0.6,0.8,0.6928203230275509,4,0.0001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.72,0.72,0.8181818181818182,0.6428571428571429,0.7252406676228423,4,0.0001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.51,0.6145284500606839,0.8533333333333333,0.23272727272727273,0.28414662006330704,4,0.0001,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.5279999999999999,0.6506816816816817,0.9136363636363637,0.17472527472527472,0.2327539354552714,4,0.0001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,4,0.001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.64,0.7096774193548387,0.9166666666666666,0.38461538461538464,0.5937710859953544,4,0.001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,4,0.001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,4,0.001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,4,0.001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,4,0.001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.68,0.6,0.5,0.8461538461538461,0.6504436355879909,4,0.001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.65,0.72,0.9,0.4,0.6000000000000001,4,0.001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.6,0.6875,1.0,0.2857142857142857,0.5345224838248488,4,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.65,0.6554180164819551,0.7355555555555555,0.5709090909090909,0.634360350241163,4,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.648,0.6712303556658396,0.7833333333333333,0.5340659340659341,0.6187184670394389,4,0.001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,8,1e-05,resize_smaller_hu_m300_1400_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,8,1e-05,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,8,1e-05,resize_smaller_hu_m300_1400_separadas
2,TEST,0.52,0.6666666666666666,1.0,0.07692307692307693,0.2773500981126146,8,1e-05,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,8,1e-05,resize_smaller_hu_m300_1400_separadas
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,8,1e-05,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.55,0.4,0.3333333333333333,0.7272727272727273,0.49236596391733095,8,1e-05,resize_smaller_hu_m300_1400_separadas
