fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
2,TEST,0.48,0.5806451612903226,0.75,0.23076923076923078,0.41602514716892186,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
4,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
4,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
5,VALIDATION,0.6,0.6666666666666666,0.8,0.4,0.5656854249492381,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
5,TEST,0.84,0.8461538461538461,1.0,0.7142857142857143,0.8451542547285166,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
MEAN,VALIDATION,0.5700000000000001,0.6506091954022988,0.8711111111111111,0.3163636363636364,0.3685815953136015,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
MEAN,TEST,0.5519999999999999,0.6317757826874237,0.8333333333333333,0.2967032967032967,0.34696897372262187,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
1,TEST,0.32,0.48484848484848486,0.6666666666666666,0.0,0.0,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
2,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
2,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
3,TEST,0.56,0.6666666666666666,0.9166666666666666,0.23076923076923078,0.45993310550389993,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
4,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
4,TEST,0.44,0.46153846153846156,0.5,0.38461538461538464,0.4385290096535146,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
5,TEST,0.68,0.6666666666666666,0.7272727272727273,0.6428571428571429,0.6837634587578277,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
MEAN,VALIDATION,0.6499999999999999,0.6848396854204476,0.8066666666666666,0.52,0.5614456888588075,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
MEAN,TEST,0.496,0.5519440559440559,0.6621212121212121,0.34395604395604396,0.41252200706610076,16,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
2,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
2,TEST,0.56,0.6857142857142857,1.0,0.15384615384615385,0.3922322702763681,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
4,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
5,VALIDATION,0.5,0.0,0.0,1.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
5,TEST,0.6,0.16666666666666666,0.09090909090909091,1.0,0.30151134457776363,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
MEAN,VALIDATION,0.48,0.5057471264367817,0.8,0.2363636363636364,0.08528028654224418,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
MEAN,TEST,0.52,0.5596653796653797,0.8181818181818181,0.23076923076923075,0.13874872297082635,16,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
