fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
7,VALIDATION,0.7391304347826086,0.7,0.6363636363636364,0.8333333333333334,0.7282190812544191,2,1e-05,resize_smaller_hu_m300_1400_separadas
7,TEST,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,1e-05,resize_smaller_hu_m300_1400_separadas
8,VALIDATION,0.5217391304347826,0.47619047619047616,0.45454545454545453,0.5833333333333334,0.5149286505444373,2,1e-05,resize_smaller_hu_m300_1400_separadas
8,TEST,0.5,0.5,0.5,0.5,0.5,2,1e-05,resize_smaller_hu_m300_1400_separadas
9,VALIDATION,0.4782608695652174,0.45454545454545453,0.45454545454545453,0.5,0.4767312946227962,2,1e-05,resize_smaller_hu_m300_1400_separadas
9,TEST,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1e-05,resize_smaller_hu_m300_1400_separadas
10,VALIDATION,0.5652173913043478,0.5833333333333334,0.6363636363636364,0.5,0.5640760748177662,2,1e-05,resize_smaller_hu_m300_1400_separadas
10,TEST,0.6666666666666666,0.3333333333333333,0.2,1.0,0.4472135954999579,2,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.5521739130434782,0.5289059966632121,0.5818181818181818,0.525,0.49786930652236905,2,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.5205128205128206,0.48782051282051275,0.5533333333333335,0.47857142857142854,0.4141631369081112,2,1e-05,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.5652173913043478,0.6428571428571429,0.8181818181818182,0.3333333333333333,0.5222329678670935,2,0.0001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.46153846153846156,0.5882352941176471,0.8333333333333334,0.14285714285714285,0.3450327796711771,2,0.0001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.6086956521739131,0.6666666666666666,0.8181818181818182,0.4166666666666667,0.5838742081211422,2,0.0001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.5384615384615384,0.5714285714285714,0.6666666666666666,0.42857142857142855,0.5345224838248488,2,0.0001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.5217391304347826,0.42105263157894735,0.36363636363636365,0.6666666666666666,0.49236596391733095,2,0.0001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.38461538461538464,0.42857142857142855,0.5,0.2857142857142857,0.3779644730092272,2,0.0001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.4782608695652174,0.4,0.36363636363636365,0.5833333333333334,0.4605661864718383,2,0.0001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.5345224838248488,2,0.0001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.5652173913043478,0.6153846153846154,0.7272727272727273,0.4166666666666667,0.5504818825631803,2,0.0001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.5384615384615384,0.625,0.8333333333333334,0.2857142857142857,0.4879500364742666,2,0.0001,resize_smaller_hu_m300_1400_separadas
6,VALIDATION,0.5652173913043478,0.5454545454545454,0.5454545454545454,0.5833333333333334,0.5640760748177662,2,0.0001,resize_smaller_hu_m300_1400_separadas
6,TEST,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.5270462766947299,2,0.0001,resize_smaller_hu_m300_1400_separadas
7,VALIDATION,0.5217391304347826,0.5217391304347826,0.5454545454545454,0.5,0.5222329678670935,2,0.0001,resize_smaller_hu_m300_1400_separadas
7,TEST,0.4166666666666667,0.36363636363636365,0.3333333333333333,0.5,0.408248290463863,2,0.0001,resize_smaller_hu_m300_1400_separadas
8,VALIDATION,0.5652173913043478,0.6428571428571429,0.8181818181818182,0.3333333333333333,0.5222329678670935,2,0.0001,resize_smaller_hu_m300_1400_separadas
8,TEST,0.5,0.6666666666666666,1.0,0.0,0.0,2,0.0001,resize_smaller_hu_m300_1400_separadas
9,VALIDATION,0.4782608695652174,0.5,0.5454545454545454,0.4166666666666667,0.4767312946227962,2,0.0001,resize_smaller_hu_m300_1400_separadas
9,TEST,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.5,0.6454972243679028,2,0.0001,resize_smaller_hu_m300_1400_separadas
10,VALIDATION,0.5217391304347826,0.56,0.6363636363636364,0.4166666666666667,0.5149286505444373,2,0.0001,resize_smaller_hu_m300_1400_separadas
