fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,seed,preprocessed_dir,weight_decay,dropout_prob
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.6,0.5454545454545454,0.5,0.6923076923076923,0.5883484054145521,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.7,0.5714285714285714,0.4444444444444444,0.9090909090909091,0.6356417261637282,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.48,0.0,0.0,0.9230769230769231,0.0,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.6,0.5,0.4444444444444444,0.7272727272727273,0.5685352436149611,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.52,0.6470588235294118,0.9166666666666666,0.15384615384615385,0.3755338080994054,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.8,0.75,0.6,1.0,0.7745966692414834,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.64,0.3076923076923077,0.18181818181818182,1.0,0.4264014327112209,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.7,0.6429824561403509,0.6088888888888888,0.7818181818181817,0.6764428038778915,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.5680000000000001,0.4167078020019197,0.43636363636363634,0.676923076923077,0.3978856671480913,16,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,40,resize_mini_hu_m600_1500_separadas,0,0.3
1,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,4,0.001,40,resize_mini_hu_m600_1500_separadas,0,0.3
